,first 150 eigenvalues
0,(67582.38372491456+0j)
1,(23663.60271756828+0j)
2,(9424.002184856345+0j)
3,(6353.204386448073+0j)
4,(6268.76293656799+0j)
5,(5622.345409953033+0j)
6,(5197.094145333996+0j)
7,(5037.76370555793+0j)
8,(4603.358519458198+0j)
9,(4454.597169787672+0j)
10,(4123.99887805606+0j)
11,(4039.9457086542698+0j)
12,(4030.549916938553+0j)
13,(3721.309429844657+0j)
14,(3529.253685598131+0j)
15,(3461.6733057979814+0j)
16,(3352.225220430698+0j)
17,(3268.156440849809+0j)
18,(3215.22799906137+0j)
19,(3094.751974618517+0j)
20,(3072.677843354507+0j)
21,(2985.2229207191303+0j)
22,(2911.3325315295965+0j)
23,(2868.051169483112+0j)
24,(2849.819772718499+0j)
25,(2776.0288806773638+0j)
26,(2743.9974916030656+0j)
27,(2687.832923547642+0j)
28,(2666.070044689314+0j)
29,(2639.5208458264915+0j)
30,(2606.645724138491+0j)
31,(2595.0417400537553+0j)
32,(2553.5312618424064+0j)
33,(2520.88781484896+0j)
34,(2492.5048464294046+0j)
35,(2482.558736614375+0j)
36,(2452.7297564661453+0j)
37,(2424.7295271495495+0j)
38,(2409.6745185140207+0j)
39,(2393.996335772333+0j)
40,(2388.208881096581+0j)
41,(2352.6694252059992+0j)
42,(2319.075772907887+0j)
43,(2309.955989142424+0j)
44,(2297.3291001387774+0j)
45,(2251.1319046021563+0j)
46,(2221.019946288444+0j)
47,(2224.032375232197+0j)
48,(2205.705650621428+0j)
49,(2196.946492523087+0j)
50,(2189.6613924784447+0j)
51,(2132.911430629446+0j)
52,(2112.266243030371+0j)
53,(2083.7698334019483+0j)
54,(2068.8681286395645+0j)
55,(2054.357460271623+0j)
56,(2051.1090321471916+0j)
57,(2042.264775675625+0j)
58,(2027.6973211666564+0j)
59,(2015.9095252961527+0j)
60,(1997.980306709776+0j)
61,(1984.0158499505753+0j)
62,(1959.0286997768203+0j)
63,(1932.4748150460498+0j)
64,(1924.7836574641399+0j)
65,(1920.2872721574317+0j)
66,(1906.687657269946+0j)
67,(1893.645534787029+0j)
68,(1883.8669212947723+0j)
69,(1879.0488589097963+0j)
70,(1866.3548174070456+0j)
71,(1848.5418277405988+0j)
72,(1839.2449112076984+0j)
73,(1824.3431621315297+0j)
74,(1811.3787973196936+0j)
75,(1804.681567610578+0j)
76,(1796.0197877761332+0j)
77,(1783.1083696320363+0j)
78,(1783.8232403370807+0j)
79,(1773.663107902946+0j)
80,(1768.2255936591941+0j)
81,(1763.3662227835+0j)
82,(1751.8373639955053+0j)
83,(1739.9916535420507+0j)
84,(1736.6866646081558+0j)
85,(1730.0678118248+0j)
86,(1718.0773091021558+0j)
87,(1709.8553593237757+0j)
88,(1701.250850015512+0j)
89,(1693.6823335716358+0j)
90,(1690.5510001328973+0j)
91,(1684.0584339140617+0j)
92,(1662.5174010336643+0j)
93,(1656.6534154380631+0j)
94,(1651.4135078425818+0j)
95,(1647.1505953204587+0j)
96,(1638.505871011169+0j)
97,(1626.1880472064174+0j)
98,(1620.113089048333+0j)
99,(1613.03445731822+0j)
100,(1609.0981679219335+0j)
101,(1595.9652688111591+0j)
102,(1591.7876230787865+0j)
103,(1587.69117939123+0j)
104,(1585.9202017663702+0j)
105,(1575.2742197474543+0j)
106,(1567.4108398180952+0j)
107,(1561.1160743317587+0j)
108,(1555.549100975649+0j)
109,(1548.8911931150842+0j)
110,(1539.916508659255+0j)
111,(1533.997935701881+0j)
112,(1521.6097377774697+0j)
113,(1515.8136221288737+0j)
114,(1506.8031177270666+0j)
115,(1503.7170131032838+0j)
116,(1500.995514595429+0j)
117,(1497.3121383833782+0j)
118,(1485.7211398487896+0j)
119,(1484.6364140377575+0j)
120,(1479.6934226633102+0j)
121,(1475.9586025659037+0j)
122,(1471.1089821324902+0j)
123,(1461.6596295351026+0j)
124,(1457.0138725369811+0j)
125,(1451.3650864784051+0j)
126,(1446.349940925355+0j)
127,(1442.7691551398207+0j)
128,(1437.8932456470047+0j)
129,(1427.666145454661+0j)
130,(1421.8464203799824+0j)
131,(1413.1490244615009+0j)
132,(1409.4424997227409+0j)
133,(1401.4935526449233+0j)
134,(1398.3403828465703+0j)
135,(1395.1804252409136+0j)
136,(1389.893106473061+0j)
137,(1386.5019564796446+0j)
138,(1384.7780899719032+0j)
139,(1375.5669148752345+0j)
140,(1373.6010403203534+0j)
141,(1368.1717936447442+0j)
142,(1366.259837395161+0j)
143,(1359.675237950472+0j)
144,(1355.20285009837+0j)
145,(1352.0065300066688+0j)
146,(1342.9769352861767+0j)
147,(1338.7481527075329+0j)
148,(1331.6196032091837+0j)
149,(1326.7373034401755+0j)
