,first 100 eigenvalues
0,(67582.38372491444+0j)
1,(23663.60271756823+0j)
2,(9424.002184856332+0j)
3,(6353.204386448056+0j)
4,(6268.762936567961+0j)
5,(5622.345409953017+0j)
6,(5197.094145333991+0j)
7,(5037.763705557966+0j)
8,(4603.358519458156+0j)
9,(4454.597169787734+0j)
10,(4123.99887805611+0j)
11,(4030.549916938566+0j)
12,(4039.945708654289+0j)
13,(3721.3094298447168+0j)
14,(3529.253685598166+0j)
15,(3461.673305798007+0j)
16,(3352.2252204306947+0j)
17,(3268.1564408498+0j)
18,(3215.227999061336+0j)
19,(3094.751974618511+0j)
20,(3072.6778433545146+0j)
21,(2985.222920719138+0j)
22,(2911.3325315295738+0j)
23,(2868.0511694830857+0j)
24,(2849.819772718461+0j)
25,(2776.028880677364+0j)
26,(2743.997491603047+0j)
27,(2687.832923547625+0j)
28,(2666.0700446892833+0j)
29,(2639.520845826489+0j)
30,(2606.645724138436+0j)
31,(2595.0417400538086+0j)
32,(2553.5312618423895+0j)
33,(2520.8878148489666+0j)
34,(2492.504846429413+0j)
35,(2482.558736614377+0j)
36,(2452.729756466112+0j)
37,(2424.729527149556+0j)
38,(2409.674518514022+0j)
39,(2393.9963357723636+0j)
40,(2388.2088810965956+0j)
41,(2352.669425205997+0j)
42,(2319.075772907869+0j)
43,(2309.9559891424306+0j)
44,(2297.329100138772+0j)
45,(2251.131904602156+0j)
46,(2224.032375232187+0j)
47,(2221.0199462884293+0j)
48,(2205.7056506214526+0j)
49,(2196.9464925230864+0j)
50,(2189.661392478446+0j)
51,(2132.911430629396+0j)
52,(2112.266243030384+0j)
53,(2083.7698334019256+0j)
54,(2068.8681286395295+0j)
55,(2054.3574602716208+0j)
56,(2051.109032147195+0j)
57,(2042.2647756756412+0j)
58,(2027.697321166641+0j)
59,(2015.9095252961338+0j)
60,(1997.9803067097646+0j)
61,(1984.0158499505562+0j)
62,(1959.0286997768017+0j)
63,(1932.474815046036+0j)
64,(1924.7836574641221+0j)
65,(1920.287272157441+0j)
66,(1906.6876572699305+0j)
67,(1893.6455347870417+0j)
68,(1883.8669212947764+0j)
69,(1879.0488589097597+0j)
70,(1866.3548174070188+0j)
71,(1848.5418277405995+0j)
72,(1839.2449112076729+0j)
73,(1824.343162131522+0j)
74,(1811.3787973196957+0j)
75,(1804.6815676105725+0j)
76,(1796.0197877761193+0j)
77,(1783.8232403370853+0j)
78,(1783.1083696320306+0j)
79,(1773.663107902945+0j)
80,(1768.2255936591994+0j)
81,(1763.3662227834948+0j)
82,(1751.8373639954907+0j)
83,(1739.9916535420389+0j)
84,(1736.6866646081626+0j)
85,(1730.0678118247781+0j)
86,(1718.077309102161+0j)
87,(1709.85535932376+0j)
88,(1701.250850015493+0j)
89,(1693.6823335716258+0j)
90,(1690.5510001328814+0j)
91,(1684.058433914041+0j)
92,(1662.5174010336489+0j)
93,(1656.653415438058+0j)
94,(1651.4135078425786+0j)
95,(1647.1505953204467+0j)
96,(1638.5058710111584+0j)
97,(1626.1880472064263+0j)
98,(1620.1130890483096+0j)
99,(1613.0344573182113+0j)
