,first 50 eigenvals
0,(67582.38372491441+0j)
1,(23663.602717568192+0j)
2,(9424.002184856345+0j)
3,(6353.204386448071+0j)
4,(6268.762936567996+0j)
5,(5622.345409952996+0j)
6,(5197.094145333956+0j)
7,(5037.763705557952+0j)
8,(4603.358519458186+0j)
9,(4454.597169787711+0j)
10,(4123.998878056071+0j)
11,(4039.9457086542566+0j)
12,(4030.549916938576+0j)
13,(3721.3094298446917+0j)
14,(3529.253685598089+0j)
15,(3461.6733057979745+0j)
16,(3352.225220430651+0j)
17,(3268.1564408497943+0j)
18,(3215.2279990613793+0j)
19,(3094.751974618509+0j)
20,(3072.6778433545282+0j)
21,(2985.2229207190953+0j)
22,(2911.332531529545+0j)
23,(2868.051169483089+0j)
24,(2849.8197727184383+0j)
25,(2776.0288806773437+0j)
26,(2743.997491603008+0j)
27,(2687.8329235476226+0j)
28,(2666.070044689263+0j)
29,(2639.5208458264633+0j)
30,(2606.6457241384364+0j)
31,(2595.041740053785+0j)
32,(2553.531261842365+0j)
33,(2520.8878148489566+0j)
34,(2492.504846429403+0j)
35,(2482.5587366143745+0j)
36,(2452.7297564661135+0j)
37,(2424.729527149541+0j)
38,(2409.674518513996+0j)
39,(2393.996335772355+0j)
40,(2388.2088810965856+0j)
41,(2352.669425205975+0j)
42,(2319.075772907874+0j)
43,(2309.955989142441+0j)
44,(2297.3291001387574+0j)
45,(2251.131904602149+0j)
46,(2221.019946288446+0j)
47,(2224.032375232183+0j)
48,(2205.7056506214412+0j)
49,(2196.9464925230727+0j)
