,first 250 eigenvalues
0,(67582.3837249146+0j)
1,(23663.602717568283+0j)
2,(9424.002184856341+0j)
3,(6353.204386448064+0j)
4,(6268.7629365679595+0j)
5,(5622.34540995298+0j)
6,(5197.094145333943+0j)
7,(5037.76370555792+0j)
8,(4603.358519458172+0j)
9,(4454.597169787719+0j)
10,(4123.9988780560925+0j)
11,(4039.9457086542648+0j)
12,(4030.5499169385544+0j)
13,(3721.309429844674+0j)
14,(3529.2536855981252+0j)
15,(3461.6733057979754+0j)
16,(3352.225220430664+0j)
17,(3268.1564408498193+0j)
18,(3215.2279990613597+0j)
19,(3094.751974618508+0j)
20,(3072.6778433545246+0j)
21,(2985.2229207191604+0j)
22,(2911.332531529586+0j)
23,(2868.0511694830743+0j)
24,(2849.819772718499+0j)
25,(2776.0288806773756+0j)
26,(2743.997491603084+0j)
27,(2687.83292354764+0j)
28,(2666.0700446893047+0j)
29,(2639.520845826477+0j)
30,(2606.6457241384664+0j)
31,(2595.0417400538026+0j)
32,(2553.531261842418+0j)
33,(2520.887814848953+0j)
34,(2492.5048464294077+0j)
35,(2482.5587366144055+0j)
36,(2452.729756466151+0j)
37,(2424.7295271495486+0j)
38,(2409.6745185140153+0j)
39,(2393.996335772347+0j)
40,(2388.2088810966147+0j)
41,(2352.669425205993+0j)
42,(2319.075772907891+0j)
43,(2309.955989142437+0j)
44,(2297.3291001388257+0j)
45,(2251.1319046021686+0j)
46,(2221.0199462884325+0j)
47,(2224.0323752322183+0j)
48,(2205.705650621432+0j)
49,(2196.9464925231123+0j)
50,(2189.661392478455+0j)
51,(2132.9114306294787+0j)
52,(2112.266243030413+0j)
53,(2083.7698334019274+0j)
54,(2068.868128639572+0j)
55,(2054.3574602716203+0j)
56,(2051.109032147208+0j)
57,(2042.2647756755996+0j)
58,(2027.6973211666655+0j)
59,(2015.9095252961472+0j)
60,(1997.980306709808+0j)
61,(1984.015849950591+0j)
62,(1959.0286997768455+0j)
63,(1932.4748150460753+0j)
64,(1924.7836574641358+0j)
65,(1920.2872721574342+0j)
66,(1906.687657269957+0j)
67,(1893.6455347870533+0j)
68,(1883.8669212947786+0j)
69,(1879.0488589097988+0j)
70,(1866.3548174070486+0j)
71,(1848.5418277406015+0j)
72,(1839.2449112077093+0j)
73,(1824.343162131565+0j)
74,(1811.3787973197002+0j)
75,(1804.6815676105796+0j)
76,(1796.0197877761225+0j)
77,(1783.1083696320422+0j)
78,(1783.8232403371+0j)
79,(1773.6631079029546+0j)
80,(1768.225593659191+0j)
81,(1763.3662227834964+0j)
82,(1751.837363995509+0j)
83,(1739.9916535420468+0j)
84,(1736.686664608169+0j)
85,(1730.0678118248334+0j)
86,(1718.0773091021708+0j)
87,(1709.8553593237882+0j)
88,(1701.2508500155063+0j)
89,(1693.6823335716435+0j)
90,(1690.5510001328898+0j)
91,(1684.058433914072+0j)
92,(1662.5174010336868+0j)
93,(1656.6534154380709+0j)
94,(1651.413507842574+0j)
95,(1647.1505953204487+0j)
96,(1638.505871011178+0j)
97,(1626.1880472064233+0j)
98,(1620.113089048327+0j)
99,(1613.0344573182163+0j)
100,(1609.0981679219399+0j)
101,(1595.9652688111655+0j)
102,(1591.787623078785+0j)
103,(1587.6911793912302+0j)
104,(1585.9202017663745+0j)
105,(1575.2742197474347+0j)
106,(1567.4108398180838+0j)
107,(1561.1160743317455+0j)
108,(1555.5491009756531+0j)
109,(1548.8911931150778+0j)
110,(1539.9165086592502+0j)
111,(1533.9979357019022+0j)
112,(1521.6097377774574+0j)
113,(1515.813622128879+0j)
114,(1506.8031177270568+0j)
115,(1503.7170131032783+0j)
116,(1500.995514595427+0j)
117,(1497.312138383381+0j)
118,(1485.7211398487657+0j)
119,(1484.636414037751+0j)
120,(1479.6934226633036+0j)
121,(1475.9586025658862+0j)
122,(1471.1089821325077+0j)
123,(1461.6596295351064+0j)
124,(1457.0138725369723+0j)
125,(1451.3650864783851+0j)
126,(1446.349940925361+0j)
127,(1442.7691551398232+0j)
128,(1437.8932456470036+0j)
129,(1427.6661454546502+0j)
130,(1421.8464203799917+0j)
131,(1413.1490244615227+0j)
132,(1409.4424997227666+0j)
133,(1401.4935526449087+0j)
134,(1398.3403828465598+0j)
135,(1395.1804252409343+0j)
136,(1389.8931064730489+0j)
137,(1386.5019564796394+0j)
138,(1384.7780899719157+0j)
139,(1375.5669148752445+0j)
140,(1373.601040320366+0j)
141,(1368.1717936447367+0j)
142,(1366.2598373951607+0j)
143,(1359.675237950478+0j)
144,(1355.202850098374+0j)
145,(1352.006530006668+0j)
146,(1342.9769352861872+0j)
147,(1338.7481527075477+0j)
148,(1331.6196032091764+0j)
149,(1326.7373034401578+0j)
150,(1322.632174303681+0j)
151,(1318.5289188248075+0j)
152,(1314.2348222899332+0j)
153,(1312.845812678759+0j)
154,(1308.7651807012305+0j)
155,(1304.786473218362+0j)
156,(1301.0548104958532+0j)
157,(1297.4995078323464+0j)
158,(1294.003356912499+0j)
159,(1288.9349661993422+0j)
160,(1287.6390953720747+0j)
161,(1283.50206437551+0j)
162,(1275.8080974814743+0j)
163,(1269.306772266349+0j)
164,(1265.2102046103278+0j)
165,(1266.2559333626314+0j)
166,(1262.5584999024272+0j)
167,(1259.3039959529192+0j)
168,(1251.340057028706+0j)
169,(1246.0048021363116+0j)
170,(1244.889242733459+0j)
171,(1239.8312220052212+0j)
172,(1236.956360212719+0j)
173,(1236.1884172085852+0j)
174,(1226.3447467427209+0j)
175,(1224.040685731533+0j)
176,(1218.4153850934242+0j)
177,(1217.5120943941984+0j)
178,(1213.677046876791+0j)
179,(1207.1422368751257+0j)
180,(1204.2622773474334+0j)
181,(1199.2924812501833+0j)
182,(1197.4218982435914+0j)
183,(1189.160980361158+0j)
184,(1188.0706505814717+0j)
185,(1186.0202861418818+0j)
186,(1184.6802047439455+0j)
187,(1181.3491753604512+0j)
188,(1174.9827884653894+0j)
189,(1169.4287903500253+0j)
190,(1166.751429015956+0j)
191,(1163.5042932173246+0j)
192,(1159.608372470597+0j)
193,(1151.920206843508+0j)
194,(1152.3299430393693+0j)
195,(1147.342381338667+0j)
196,(1143.596667833165+0j)
197,(1141.58850383394+0j)
198,(1136.2266667768429+0j)
199,(1133.3727495799308+0j)
200,(1129.7686277212981+0j)
201,(1128.1892081939077+0j)
202,(1124.6754239377842+0j)
203,(1121.8221206327603+0j)
204,(1119.0035398299242+0j)
205,(1117.4033593417025+0j)
206,(1112.1011654538643+0j)
207,(1106.294780115698+0j)
208,(1102.7777004607829+0j)
209,(1101.3570274054446+0j)
210,(1100.4312286820673+0j)
211,(1098.8573606479379+0j)
212,(1095.1745971760422+0j)
213,(1094.0539133178747+0j)
214,(1090.9285429403662+0j)
215,(1082.1332387752188+0j)
216,(1079.5388501544123+0j)
217,(1078.3856999563316+0j)
218,(1074.3221554145166+0j)
219,(1071.319149768528+0j)
220,(1068.1325780325876+0j)
221,(1066.892796907843+0j)
222,(1065.8909917855226+0j)
223,(1060.5671620354603+0j)
224,(1056.2003084490095+0j)
225,(1055.2470074022085+0j)
226,(1054.8636719604037+0j)
227,(1053.9768803598854+0j)
228,(1050.7914995736394+0j)
229,(1048.4265493927676+0j)
230,(1045.087922279589+0j)
231,(1040.4275310335395+0j)
232,(1041.6598467307556+0j)
233,(1038.8486469798388+0j)
234,(1033.6409620824754+0j)
235,(1033.2732917650735+0j)
236,(1032.0638633110498+0j)
237,(1029.2689493079463+0j)
238,(1026.23187315755+0j)
239,(1022.4718672143262+0j)
240,(1020.8509604408595+0j)
241,(1018.6462716722266+0j)
242,(1017.3409301884441+0j)
243,(1014.3466882334122+0j)
244,(1013.5570194403729+0j)
245,(1011.7827426090578+0j)
246,(1010.1081365422593+0j)
247,(1007.8649365943003+0j)
248,(1005.0428083046875+0j)
249,(1002.6976169008158+0j)
