,real part of first 250 eigenvalues
0,67582.3837249146
1,23663.602717568283
2,9424.002184856341
3,6353.204386448064
4,6268.7629365679595
5,5622.34540995298
6,5197.094145333943
7,5037.76370555792
8,4603.358519458172
9,4454.597169787719
10,4123.9988780560925
11,4039.9457086542648
12,4030.5499169385544
13,3721.309429844674
14,3529.2536855981252
15,3461.6733057979754
16,3352.225220430664
17,3268.1564408498193
18,3215.2279990613597
19,3094.751974618508
20,3072.6778433545246
21,2985.2229207191604
22,2911.332531529586
23,2868.0511694830743
24,2849.819772718499
25,2776.0288806773756
26,2743.997491603084
27,2687.83292354764
28,2666.0700446893047
29,2639.520845826477
30,2606.6457241384664
31,2595.0417400538026
32,2553.531261842418
33,2520.887814848953
34,2492.5048464294077
35,2482.5587366144055
36,2452.729756466151
37,2424.7295271495486
38,2409.6745185140153
39,2393.996335772347
40,2388.2088810966147
41,2352.669425205993
42,2319.075772907891
43,2309.955989142437
44,2297.3291001388257
45,2251.1319046021686
46,2221.0199462884325
47,2224.0323752322183
48,2205.705650621432
49,2196.9464925231123
50,2189.661392478455
51,2132.9114306294787
52,2112.266243030413
53,2083.7698334019274
54,2068.868128639572
55,2054.3574602716203
56,2051.109032147208
57,2042.2647756755996
58,2027.6973211666655
59,2015.9095252961472
60,1997.980306709808
61,1984.015849950591
62,1959.0286997768455
63,1932.4748150460753
64,1924.7836574641358
65,1920.2872721574342
66,1906.687657269957
67,1893.6455347870533
68,1883.8669212947786
69,1879.0488589097988
70,1866.3548174070486
71,1848.5418277406015
72,1839.2449112077093
73,1824.343162131565
74,1811.3787973197002
75,1804.6815676105796
76,1796.0197877761225
77,1783.1083696320422
78,1783.8232403371
79,1773.6631079029546
80,1768.225593659191
81,1763.3662227834964
82,1751.837363995509
83,1739.9916535420468
84,1736.686664608169
85,1730.0678118248334
86,1718.0773091021708
87,1709.8553593237882
88,1701.2508500155063
89,1693.6823335716435
90,1690.5510001328898
91,1684.058433914072
92,1662.5174010336868
93,1656.6534154380709
94,1651.413507842574
95,1647.1505953204487
96,1638.505871011178
97,1626.1880472064233
98,1620.113089048327
99,1613.0344573182163
100,1609.0981679219399
101,1595.9652688111655
102,1591.787623078785
103,1587.6911793912302
104,1585.9202017663745
105,1575.2742197474347
106,1567.4108398180838
107,1561.1160743317455
108,1555.5491009756531
109,1548.8911931150778
110,1539.9165086592502
111,1533.9979357019022
112,1521.6097377774574
113,1515.813622128879
114,1506.8031177270568
115,1503.7170131032783
116,1500.995514595427
117,1497.312138383381
118,1485.7211398487657
119,1484.636414037751
120,1479.6934226633036
121,1475.9586025658862
122,1471.1089821325077
123,1461.6596295351064
124,1457.0138725369723
125,1451.3650864783851
126,1446.349940925361
127,1442.7691551398232
128,1437.8932456470036
129,1427.6661454546502
130,1421.8464203799917
131,1413.1490244615227
132,1409.4424997227666
133,1401.4935526449087
134,1398.3403828465598
135,1395.1804252409343
136,1389.8931064730489
137,1386.5019564796394
138,1384.7780899719157
139,1375.5669148752445
140,1373.601040320366
141,1368.1717936447367
142,1366.2598373951607
143,1359.675237950478
144,1355.202850098374
145,1352.006530006668
146,1342.9769352861872
147,1338.7481527075477
148,1331.6196032091764
149,1326.7373034401578
150,1322.632174303681
151,1318.5289188248075
152,1314.2348222899332
153,1312.845812678759
154,1308.7651807012305
155,1304.786473218362
156,1301.0548104958532
157,1297.4995078323464
158,1294.003356912499
159,1288.9349661993422
160,1287.6390953720747
161,1283.50206437551
162,1275.8080974814743
163,1269.306772266349
164,1265.2102046103278
165,1266.2559333626314
166,1262.5584999024272
167,1259.3039959529192
168,1251.340057028706
169,1246.0048021363116
170,1244.889242733459
171,1239.8312220052212
172,1236.956360212719
173,1236.1884172085852
174,1226.3447467427209
175,1224.040685731533
176,1218.4153850934242
177,1217.5120943941984
178,1213.677046876791
179,1207.1422368751257
180,1204.2622773474334
181,1199.2924812501833
182,1197.4218982435914
183,1189.160980361158
184,1188.0706505814717
185,1186.0202861418818
186,1184.6802047439455
187,1181.3491753604512
188,1174.9827884653894
189,1169.4287903500253
190,1166.751429015956
191,1163.5042932173246
192,1159.608372470597
193,1151.920206843508
194,1152.3299430393693
195,1147.342381338667
196,1143.596667833165
197,1141.58850383394
198,1136.2266667768429
199,1133.3727495799308
200,1129.7686277212981
201,1128.1892081939077
202,1124.6754239377842
203,1121.8221206327603
204,1119.0035398299242
205,1117.4033593417025
206,1112.1011654538643
207,1106.294780115698
208,1102.7777004607829
209,1101.3570274054446
210,1100.4312286820673
211,1098.8573606479379
212,1095.1745971760422
213,1094.0539133178747
214,1090.9285429403662
215,1082.1332387752188
216,1079.5388501544123
217,1078.3856999563316
218,1074.3221554145166
219,1071.319149768528
220,1068.1325780325876
221,1066.892796907843
222,1065.8909917855226
223,1060.5671620354603
224,1056.2003084490095
225,1055.2470074022085
226,1054.8636719604037
227,1053.9768803598854
228,1050.7914995736394
229,1048.4265493927676
230,1045.087922279589
231,1040.4275310335395
232,1041.6598467307556
233,1038.8486469798388
234,1033.6409620824754
235,1033.2732917650735
236,1032.0638633110498
237,1029.2689493079463
238,1026.23187315755
239,1022.4718672143262
240,1020.8509604408595
241,1018.6462716722266
242,1017.3409301884441
243,1014.3466882334122
244,1013.5570194403729
245,1011.7827426090578
246,1010.1081365422593
247,1007.8649365943003
248,1005.0428083046875
249,1002.6976169008158
