,first 500 eigenvalues
0,(67582.38372491453+0j)
1,(23663.602717568305+0j)
2,(9424.00218485633+0j)
3,(6353.2043864480465+0j)
4,(6268.762936567956+0j)
5,(5622.345409952985+0j)
6,(5197.094145333952+0j)
7,(5037.763705557907+0j)
8,(4603.358519458164+0j)
9,(4454.597169787708+0j)
10,(4123.998878056071+0j)
11,(4039.9457086542843+0j)
12,(4030.5499169385553+0j)
13,(3721.3094298446804+0j)
14,(3529.2536855980966+0j)
15,(3461.673305797974+0j)
16,(3352.2252204306933+0j)
17,(3268.1564408498093+0j)
18,(3215.2279990613615+0j)
19,(3094.7519746185076+0j)
20,(3072.67784335451+0j)
21,(2985.2229207191594+0j)
22,(2911.332531529617+0j)
23,(2868.0511694830916+0j)
24,(2849.8197727184906+0j)
25,(2776.028880677438+0j)
26,(2743.9974916030746+0j)
27,(2687.832923547694+0j)
28,(2666.0700446893325+0j)
29,(2639.520845826563+0j)
30,(2606.645724138471+0j)
31,(2595.041740053808+0j)
32,(2553.531261842442+0j)
33,(2520.887814849013+0j)
34,(2492.5048464293886+0j)
35,(2482.558736614414+0j)
36,(2452.729756466142+0j)
37,(2424.729527149565+0j)
38,(2409.6745185140057+0j)
39,(2393.996335772349+0j)
40,(2388.208881096608+0j)
41,(2352.669425206011+0j)
42,(2319.0757729078573+0j)
43,(2309.955989142461+0j)
44,(2297.329100138823+0j)
45,(2251.131904602184+0j)
46,(2221.019946288458+0j)
47,(2224.0323752321924+0j)
48,(2205.705650621448+0j)
49,(2196.946492523124+0j)
50,(2189.6613924784433+0j)
51,(2132.9114306294928+0j)
52,(2112.266243030446+0j)
53,(2083.769833401936+0j)
54,(2068.868128639581+0j)
55,(2054.3574602716394+0j)
56,(2051.1090321472198+0j)
57,(2042.264775675631+0j)
58,(2027.6973211667048+0j)
59,(2015.9095252961647+0j)
60,(1997.9803067098132+0j)
61,(1984.0158499506342+0j)
62,(1959.0286997768474+0j)
63,(1932.4748150460998+0j)
64,(1924.7836574641499+0j)
65,(1920.2872721574888+0j)
66,(1906.68765727001+0j)
67,(1893.6455347870453+0j)
68,(1883.8669212948287+0j)
69,(1879.0488589098366+0j)
70,(1866.3548174070443+0j)
71,(1848.5418277406313+0j)
72,(1839.2449112077268+0j)
73,(1824.3431621315924+0j)
74,(1811.3787973197136+0j)
75,(1804.6815676105887+0j)
76,(1796.019787776133+0j)
77,(1783.1083696320256+0j)
78,(1783.8232403370876+0j)
79,(1773.6631079029942+0j)
80,(1768.2255936591866+0j)
81,(1763.3662227834843+0j)
82,(1751.837363995516+0j)
83,(1739.9916535420314+0j)
84,(1736.686664608172+0j)
85,(1730.067811824801+0j)
86,(1718.0773091021529+0j)
87,(1709.8553593238046+0j)
88,(1701.2508500155259+0j)
89,(1693.6823335716551+0j)
90,(1690.5510001328853+0j)
91,(1684.0584339140762+0j)
92,(1662.5174010337219+0j)
93,(1656.6534154380545+0j)
94,(1651.413507842579+0j)
95,(1647.1505953204928+0j)
96,(1638.5058710112032+0j)
97,(1626.1880472064631+0j)
98,(1620.1130890483655+0j)
99,(1613.0344573182815+0j)
100,(1609.0981679219701+0j)
101,(1595.9652688112074+0j)
102,(1591.7876230788077+0j)
103,(1587.6911793912786+0j)
104,(1585.920201766384+0j)
105,(1575.2742197474765+0j)
106,(1567.4108398181452+0j)
107,(1561.1160743317637+0j)
108,(1555.5491009757147+0j)
109,(1548.8911931151056+0j)
110,(1539.9165086592768+0j)
111,(1533.9979357019195+0j)
112,(1521.6097377775113+0j)
113,(1515.813622128911+0j)
114,(1506.8031177270668+0j)
115,(1503.7170131032674+0j)
116,(1500.9955145954757+0j)
117,(1497.31213838338+0j)
118,(1485.7211398487666+0j)
119,(1484.6364140377561+0j)
120,(1479.6934226633568+0j)
121,(1475.958602565915+0j)
122,(1471.1089821325402+0j)
123,(1461.6596295351376+0j)
124,(1457.0138725369864+0j)
125,(1451.365086478442+0j)
126,(1446.3499409253586+0j)
127,(1442.7691551398486+0j)
128,(1437.8932456470588+0j)
129,(1427.6661454547118+0j)
130,(1421.8464203800409+0j)
131,(1413.1490244615202+0j)
132,(1409.4424997227857+0j)
133,(1401.4935526449206+0j)
134,(1398.340382846592+0j)
135,(1395.1804252409738+0j)
136,(1389.8931064730557+0j)
137,(1386.5019564796382+0j)
138,(1384.7780899719428+0j)
139,(1375.5669148752402+0j)
140,(1373.6010403203895+0j)
141,(1368.171793644775+0j)
142,(1366.2598373951519+0j)
143,(1359.6752379505215+0j)
144,(1355.202850098359+0j)
145,(1352.0065300067217+0j)
146,(1342.9769352862093+0j)
147,(1338.7481527076031+0j)
148,(1331.6196032092298+0j)
149,(1326.7373034401721+0j)
150,(1322.6321743037104+0j)
151,(1318.528918824833+0j)
152,(1314.2348222899634+0j)
153,(1312.8458126787652+0j)
154,(1308.7651807012555+0j)
155,(1304.7864732183693+0j)
156,(1301.0548104958775+0j)
157,(1297.4995078323336+0j)
158,(1294.0033569125237+0j)
159,(1288.934966199351+0j)
160,(1287.6390953720932+0j)
161,(1283.502064375551+0j)
162,(1275.808097481536+0j)
163,(1269.3067722663736+0j)
164,(1266.2559333626118+0j)
165,(1265.2102046103576+0j)
166,(1262.5584999023986+0j)
167,(1259.3039959529315+0j)
168,(1251.34005702872+0j)
